Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
29.8;15266.1220703125;53049.640625;144.993576049805
29.9;16707.533203125;-268501.1875;-433.211669921875
30;17987.94921875;-562617.75;-903.958251953125
30.1;19089.734375;-828163.375;-1214.9052734375
30.2;20009.193359375;-1066936;-1342.7568359375
30.3;20748.865234375;-1281607.5;-1295.02075195313
30.4;21312.14453125;-1473755;-1105.29248046875
30.5;21698.17578125;-1642384.75;-824.17529296875
30.6;21904.0625;-1783345.75;-507.3818359375
30.7;21934.51171875;-1889666.25;-203.85498046875
30.8;21782.9609375;-1952967;54.34326171875
30.9;21436.826171875;-1965350.75;255.304565429688
31;20900.390625;-1921122.75;407.744506835938
31.1;20179.41015625;-1819155;535.0869140625
31.2;19270.076171875;-1663443.25;665.483154296875
31.3;18195.515625;-1463178;821.825317382813
31.4;16979.541015625;-1231661.25;1011.78601074219
31.5;15648.625;-984307.25;1222.10095214844
31.6;14234.841796875;-736187.625;1418.33874511719
31.7;12761.12109375;-499510.375;1549.88342285156
31.8;11254.5234375;-281676.1875;1560.49755859375
31.9;9733.1162109375;-84348.34375;1401.07214355469
32;8199.5859375;96404.03125;1042.72839355469
32.1;6653.1865234375;268592.5625;487.419250488281
32.2;5094.95703125;442051.125;-227.274322509766
32.3;3521.3486328125;625480;-1029.88244628906
32.4;1918.02124023438;823793.25;-1823.82495117188
32.5;292.038818359375;1035938.75;-2501.71411132813
32.6;-1355.12670898438;1254045.5;-2963.2431640625
32.7;-3000.89575195313;1463778;-3132.81225585938
32.8;-4622.35205078125;1646186.5;-2972.783203125
32.9;-6192.5556640625;1780500.25;-2493.4208984375
33;-7674.75732421875;1847733.75;-1751.83374023438
33.1;-9067.50390625;1833312.25;-844.218444824219
33.2;-10278.333984375;1731274.75;109.079345703125
33.3;-11332.728515625;1544023.75;981.524658203125
33.4;-12224.6484375;1283397.75;1662.4775390625
33.5;-12962.58203125;968846.5;2072.5615234375
33.6;-13569.724609375;624809.25;2176.224609375
33.7;-14069.41015625;277328.25;1985.66528320313
33.8;-14485.236328125;-49546.328125;1556.48193359375
33.9;-14843.53515625;-336738.6875;976.266479492188
34;-15155.6572265625;-572147.75;348.579284667969
34.1;-15427.0751953125;-751458.25;-225.231170654297
34.2;-15662.47265625;-877441.75;-662.430541992188
34.3;-15849.2509765625;-958255.625;-910.703369140625
34.4;-15972.765625;-1004987.25;-953.90673828125
34.5;-16014.91015625;-1028998.25;-810.73291015625
34.6;-15991.8486328125;-1039703.25;-527.21484375
34.7;-15831.498046875;-1042997.5;-165.427795410156
34.8;-15526.3935546875;-1040570;210.972839355469
34.9;-15192.3544921875;-1031170;545.186645507813
35;-14719.796875;-1011024.625;801.679382324219
35.1;-14132.44921875;-976156.75;963.397216796875
35.2;-13455.87890625;-923817.875;1033.94018554688
35.3;-12702.59765625;-853825.25;1030.39123535156
35.4;-11876.755859375;-768999.75;975.210693359375
35.5;-10983.6552734375;-674798.125;887.736572265625
35.6;-10022.037109375;-578044.375;777.988647460938
35.7;-8988.0185546875;-485332.3125;644.001647949219
35.8;-7883.8212890625;-401258.5625;473.670989990234
35.9;-6718.7314453125;-327045.1875;250.306701660156
36;-5516.228515625;-259938.3125;-39.0638427734375
36.1;-4251.4228515625;-193550.03125;-395.119018554688
36.2;-2984.67163085938;-119121.6875;-800.552978515625
36.3;-1718.16748046875;-27446.8046875;-1217.03588867188
36.4;-472.949829101563;88596.03125;-1588.46069335938
36.5;723.183654785156;232168.78125;-1848.884765625
36.6;1859.70874023438;400873.875;-1934.36694335938
36.7;2938.533203125;586331.375;-1796.64575195313
36.8;3964.66259765625;775052.25;-1415.53125
36.9;4942.2783203125;950334.375;-807.738403320313
37;5898.271484375;1094994.25;-29.1827392578125
37.1;6844.88037109375;1194574.75;829.453002929688
37.2;7806.35009765625;1239919.5;1654.4375
37.3;8762.5546875;1229398.25;2325.4853515625
37.4;9728.7890625;1169576;2735.408203125
37.5;10674.6279296875;1074368.75;2808.03955078125
37.6;11590.759765625;962973.875;2512.5947265625
37.7;12446.9091796875;856836.625;1870.51245117188
37.8;13216.884765625;775822.375;953.993530273438
37.9;13873.166015625;734938.875;-123.672790527344
38;14401.244140625;741555.25;-1224.892578125
38.1;14714.619140625;794260.75;-2208.98291015625
38.2;14880.966796875;882337.875;-2951.69580078125
38.3;14886.578125;988092;-3364.9326171875
38.4;14765.3671875;1089233.25;-3407.54443359375
38.5;14542.6494140625;1162391.75;-3089.4814453125
38.6;14275.6611328125;1186876.25;-2467.0966796875
38.7;13903.55859375;1146980.5;-1631.89868164063
38.8;13541.9052734375;1034663.5;-692.862731933594
38.9;13155.16015625;849728.75;240.218994140625
39;12742.517578125;599212;1073.787109375
39.1;12305.3564453125;295504.625;1742.28637695313
39.2;11828;-46003.5703125;2213.36645507813
39.3;11305.6484375;-409443.5;2486.77734375
39.4;10721.498046875;-780630.25;2587.17553710938
39.5;10068.0595703125;-1148288;2553.326171875
39.6;9342.8330078125;-1504447.75;2426.24487304688
39.7;8545.23828125;-1843676.75;2238.841796875
39.8;7683.798828125;-2161850;2009.51013183594
39.9;6764.0771484375;-2454427.5;1740.59838867188
40;5789.236328125;-2714930;1421.66064453125
40.1;4778.28564453125;-2934248.5;1037.9951171875
40.2;3704.03540039063;-3100322.5;578.310180664063
40.3;2578.94580078125;-3199537.5;43.52880859375
40.4;1395.0634765625;-3218050;-546.543212890625
40.5;126.955322265625;-3144485.5;-1153.4404296875
40.6;-1201.04565429688;-2971813;-1721.84423828125
40.7;-2591.18383789063;-2699304.5;-2190.849609375
40.8;-4043.66162109375;-2333404;-2503.083984375
40.9;-5537.4267578125;-1887535.5;-2618.34521484375
41;-7048.0107421875;-1380781.75;-2520.0380859375
41.1;-8543.439453125;-835634.75;-2222.23071289063
41.2;-9989.69921875;-275383.875;-1768.46728515625
41.3;-11356.099609375;278670.8125;-1225.13452148438
41.4;-12611.353515625;809312.75;-670.161560058594
41.5;-13736.49609375;1304586.75;-179.20166015625
41.6;-14716.861328125;1757949.75;188.005981445313
41.7;-15544.5712890625;2167209;398.593505859375
41.8;-16221.091796875;2532693.5;451.979248046875
41.9;-16749.912109375;2854969.5;379.106689453125
42;-17135.265625;3132687;235.193359375
42.1;-17376.087890625;3361204;87.98388671875
42.2;-17471.7734375;3531932.5;1.57421875
42.3;-17412.28515625;3633182.5;24.4287109375
42.4;-17215.140625;3651780.5;176.864501953125
42.5;-16816.234375;3575774;446.810302734375
42.6;-16232.9501953125;3396952;790.9384765625
42.7;-15454.2529296875;3113404;1143.2490234375
42.8;-14483.83984375;2731153.5;1428.4267578125
42.9;-13338.611328125;2264432;1577.33544921875
43;-12045.2578125;1734788.25;1542.19946289063
43.1;-10637.970703125;1168789.75;1307.48315429688
43.2;-9154.6953125;595002.625;894.994873046875
43.3;-7638.27001953125;40502.03125;361.432373046875
43.4;-6125.2939453125;-472187;-210.760498046875
43.5;-4650.1591796875;-927424;-728.028564453125
43.6;-3229.7412109375;-1317504.75;-1102.52270507813
43.7;-1877.04174804688;-1642269.25;-1268.482421875
43.8;-592.4296875;-1907583.75;-1194.38720703125
43.9;627.062255859375;-2122706;-889.1044921875
44;1793.35021972656;-2297380;-400.365966796875
44.1;2911.26049804688;-2439067.5;193.318359375
44.2;3990.62451171875;-2551042.5;798.207885742188
