Nama Bagian;n;b;h;a;Z;mapped_index;Structure element;μ (a) [mm/years];CoV (a);index;b_t0;h_t0;b_t10;h_t10;b_t20;h_t20;b_t30;h_t30
Long Stiff Deck 11 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 11 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 12 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 12 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 13 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 13 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 14 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 14 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 15 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 15 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 16 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 16 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 17 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 17 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 18 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 18 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 19 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 19 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Deck 20 Web;2;0.9;15.0;0;601.97362;DPW;Deck stiffener's web;0.0716;0.8902;DPW;0.9;15.0;0.8284;14.9284;0.7568;14.8568;0.6852;14.7852
Long Stiff Deck 20 Frame;2;8.1;0.9;0;594.92362;DPF;Deck stiffener's flange;0.0588;1.003;DPF;8.1;0.9;8.0412;0.8412000000000001;7.982399999999999;0.7824;7.9235999999999995;0.7236
Long Stiff Side Shell 1 Web;2;15.0;0.9;0;133.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 1 Frame;2;0.9;8.1;0;129.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 2 Web;2;15.0;0.9;0;182.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 2 Frame;2;0.9;8.1;0;178.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 3 Web;2;15.0;0.9;0;243.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 3 Frame;2;0.9;8.1;0;239.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 4 Web;2;15.0;0.9;0;304.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 4 Frame;2;0.9;8.1;0;300.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 5 Web;2;15.0;0.9;0;365.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 5 Frame;2;0.9;8.1;0;361.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 6 Web;2;15.0;0.9;0;426.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 6 Frame;2;0.9;8.1;0;422.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 7 Web;2;15.0;0.9;0;487.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 7 Frame;2;0.9;8.1;0;483.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Side Shell 8 Web;2;15.0;0.9;0;548.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
Long Stiff Side Shell 8 Frame;2;0.9;8.1;0;544.05;SLF;Sekat Long flange;0.0588;1.003;SLF;0.9;8.1;0.8412000000000001;8.0412;0.7824;7.982399999999999;0.7236;7.9235999999999995
Long Stiff Web 1 Web;2;15.0;0.9;0;60.55;SLW;Sekat Long Web;0.0716;0.8902;SLW;15.0;0.9;14.9284;0.8284;14.8568;0.7568;14.7852;0.6852
