Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
138.5;14847.8076171875;-4918347;-1437.9150390625
139;14314.0087890625;-1787596;-1088.36633300781
139.5;11813.640625;1746066.125;-752.32421875
140;7698.828125;5528259.5;-598.837158203125
140.5;2580.00122070313;9223238;-695.706298828125
141;-2771.15698242188;12353524;-978.509765625
141.5;-7550.65625;14415442;-1273.49340820313
142;-11063.8271484375;15033440;-1369.54187011719
142.5;-12845.5078125;14091576;-1108.92211914063
143;-12709.080078125;11792608;-459.164245605469
143.5;-10782.369140625;8611936;466.6123046875
144;-7445.46337890625;5164623;1446.38537597656
144.5;-3252.966796875;2024098.75;2227.466796875
145;1169.64306640625;-439131.03125;2612.55078125
145.5;5216.6103515625;-2144555.5;2522.39794921875
146;8379.4951171875;-3284887.75;2016.3984375
146.5;10293.2265625;-4215974;1265.87768554688
147;10759.861328125;-5296094;494.006591796875
147.5;9754.912109375;-6735820;-98.860107421875
148;7425.6318359375;-8511724;-397.797607421875
148.5;4071.6533203125;-10371360;-404.210327148438
149;124.213012695313;-11919244;-223.475830078125
149.5;-3892.32153320313;-12748732;-15.5560302734375
150;-7426.18701171875;-12565776;72.7042083740234
150.5;-9967.109375;-11262730;-35.7330627441406
151;-11124.216796875;-8924070;-323.106079101563
151.5;-10704.681640625;-5772361;-696.256103515625
152;-8742.52734375;-2091890;-1034.71069335938
152.5;-5504.935546875;1838104.25;-1247.458984375
153;-1451.27465820313;5767081;-1309.17016601563
153.5;2843.7138671875;9459522;-1261.04797363281
154;6788.4755859375;12660586;-1177.42358398438
154.5;9855.908203125;15074936;-1119.35717773438
155;11659.3466796875;16388732;-1093.72412109375
155.5;11986.208984375;16335392;-1041.50695800781
156;10811.396484375;14791460;-862.611572265625
156.5;8278.5908203125;11856904;-465.342010498047
157;4686.4326171875;7884818;175.854644775391
157.5;448.806549072266;3428526;986.307556152344
158;-3942.9833984375;-881847.8125;1797.56555175781
158.5;-7955.806640625;-4500679.5;2397.01904296875
159;-11073.724609375;-7108680;2603.93090820313
159.5;-12858.0068359375;-8683956;2341.65161132813
160;-13016.8876953125;-9471123;1672.83813476563
160.5;-11465.0546875;-9857772;782.603759765625
161;-8359.53515625;-10201374;-86.037109375
161.5;-4100.697265625;-10670374;-717.598266601563
162;718.329284667969;-11161696;-996.872680664063
162.5;5402.1806640625;-11326180;-942.963745117188
163;9274.0947265625;-10697398;-693.795776367188
163.5;11787.35546875;-8877666;-448.940399169922
164;12619.31640625;-5713304;-391.298645019531
164.5;11724.9833984375;-1397400;-615.161499023438
165;9319.005859375;3542469;-1084.81396484375
165.5;5825.9404296875;8361887;-1640.29150390625
166;1788.1015625;12288130;-2053.07153320313
166.5;-2226.90649414063;14711538;-2111.58813476563
167;-5716.39794921875;15322848;-1704.52416992188
167.5;-8291.169921875;14156988;-867.75390625
168;-9706.578125;11544090;225.269287109375
168.5;-9869.755859375;7994947;1322.541015625
169;-8825.046875;4069009;2179.37353515625
169.5;-6744.19921875;268931.25;2632.74365234375
170;-3904.486328125;-3015470.5;2640.2822265625
170.5;-666.021118164063;-5517429;2271.5380859375
171;2565.9208984375;-7075318;1664.39440917969
171.5;5377.61669921875;-7619746;966.762939453125
172;7406.470703125;-7177363;290.956298828125
172.5;8397.6982421875;-5894924;-303.96923828125
173;8239.0791015625;-4056911;-799.9033203125
173.5;6985.8212890625;-2074277.75;-1188.38940429688
174;4847.8876953125;-420381;-1442.1220703125
174.5;2147.5009765625;481751.25;-1508.1103515625
175;-735.244873046875;389197.5;-1328.73278808594
175.5;-3427.1884765625;-655875.875;-883.216186523438
176;-5614.9892578125;-2297309.75;-225.466979980469
176.5;-7071.5595703125;-3936220;502.113830566406
177;-7662.8603515625;-4894497;1096.70336914063
177.5;-7343.541015625;-4624823;1357.17358398438
178;-6144.66796875;-2901938;1159.51904296875
178.5;-4169.07470703125;74598.5;513.988525390625
179;-1592.27014160156;3704281;-420.762634277344
179.5;1331.05676269531;7138472;-1375.8232421875
180;4266.83447265625;9514320;-2051.73657226563
180.5;6826.1015625;10198030;-2212.76049804688
181;8605.32421875;8961376;-1763.18444824219
181.5;9256.2978515625;6037396;-781.701110839844
182;8566.87890625;2044028.5;497.631713867188
182.5;6523.1533203125;-2192959;1749.88342285156
183;3346.076171875;-5855569;2650.01586914063
183.5;-523.209838867188;-8320544;2964.619140625
184;-4489.13525390625;-9266604;2615.97265625
184.5;-7911.06005859375;-8687454;1699.3701171875
185;-10206.259765625;-6823983;448.699615478516
185.5;-10976.822265625;-4061595;-838.789184570313
186;-10066.44140625;-833269.625;-1889.38098144531
186.5;-7593.4580078125;2441536.5;-2521.86669921875
187;-3921.18774414063;5378896;-2677.67041015625
187.5;402.591674804688;7630418;-2406.43676757813
188;4736.76220703125;8890238;-1821.86730957031
188.5;8443.58203125;8928950;-1053.029296875
189;10968.111328125;7653299;-208.438125610352
189.5;11927.7216796875;5172739;631.075927734375
190;11152.6171875;1834030.75;1397.42211914063
