Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
96.5;-16644140;-1249009.375;-112724.4140625
97;-22641528;-1045400.625;-345224.875
97.5;-26541124;-548152.5;-579862.25
98;-27686248;38600.5;-713389.5
98.5;-25626720;491661;-661729.375
99;-20210920;638888;-392308.15625
99.5;-11673614;413728.5;59475.828125
100;-693194.875;-122230;596331.125
100.5;11608575;-794773.5;1085435.625
101;23745264;-1367346;1395177.375
101.5;34030172;-1612075.75;1429594.75
102;40813700;-1382038;1151250.75
102.5;42760984;-663916.5;589870.1875
103;39119760;407078.5;-161224.5625
103.5;29923284;1574749;-958541.875
104;16075390;2526951;-1631408
104.5;-713268.75;2981666.5;-2015675.875
105;-18142690;2767908.25;-1996282.375
105.5;-33666536;1879156;-1547903.5
106;-44903328;483776;-756140.1875
106.5;-50041472;-1111100.25;196976.6875
107;-48162280;-2533403;1084630.25
107.5;-39416144;-3437373;1705480
108;-25018498;-3594044;1942127
108.5;-7062723;-2950211.5;1783408.25
109;11814332;-1645912.25;1306972.5
109.5;28853632;17475.625;639290.25
110;41605888;1650785.875;-83249.9375
110.5;48299648;2873689;-737908.9375
111;48085812;3410614;-1225440.75
111.5;41126568;3157941.5;-1476821
112;28525360;2207171.5;-1464071.5
112.5;12123396;816212.5;-1212092.25
113;-5793140.5;-661297.75;-800041.25
113.5;-22822712;-1868608.25;-342982.125
114;-36763552;-2535586.75;44926.125
114.5;-45874392;-2543179;291007.0625
115;-49056596;-1945850.75;388371.3125
115.5;-45948520;-949471.75;390403.875
116;-36935792;150022;377945.875
116.5;-23087984;1049684;416087.125
117;-6035367;1521751;522501.5625
117.5;12202751;1472890.5;661478.3125
118;29425972;964415.75;763109.375
118.5;43486688;188912.421875;755008.625
119;52534952;-590049.5;590588.9375
119.5;55253404;-1117754.5;263868.125
120;51055416;-1223272;-189677.5625
120.5;40214440;-870529.5;-699985.75
121;23894046;-167078;-1171575.25
121.5;4055140.75;669704.5;-1495193.5
122;-16763259;1378263.5;-1567151
122.5;-35773232;1730726.25;-1319197.25
123;-50335608;1600253.75;-752078.125
123.5;-58364064;999220.75;44221.5625
124;-58666528;77668;900691.5
124.5;-51159136;-916612.5;1613591.5
125;-36906656;-1707525.375;2006675.75
125.5;-17974572;-2067833.875;1984581.25
126;2888033.5;-1885614.25;1555317.625
126.5;22682048;-1199271.625;818179
127;38633164;-190894.5;-70340.375
127.5;48623392;861547.5;-934838.5625
128;51504584;1661180.5;-1612510.5
128.5;47240456;1976137.5;-1976967
129;36857992;1706750.5;-1958411.625
129.5;22226000;916024;-1560779.625
130;5708263;-185484.5;-869541.375
130.5;-10239083;-1295417.25;-40458.1875
131;-23451948;-2100642;735771.5625
131.5;-32358620;-2362433.5;1285635.5
132;-36152752;-1982489;1503496.75
132.5;-34824248;-1033400.5;1379409.5
133;-29060812;255521.5;992729.625
133.5;-20058138;1555432.25;476792.15625
134;-9285081;2522972.5;-28057.2890625
134.5;1747760.5;2891413.5;-413494.875
135;11679604;2543683.75;-623112.875
135.5;19431276;1547060;-653366.25
136;24275196;138754.5;-542370.25
136.5;25854684;-1334018.5;-354079.4375
137;24168488;-2503973.5;-161397.75
137.5;19538168;-3078795.25;-28860.90625
138;12566096;-2917484.75;4132.46875
138.5;4087114.5;-2065457.75;-63437.578125
139;-4893830.5;-741259;-190423
139.5;-13284587;721733.25;-304186
140;-20014516;1962468.75;-325557.4375
140.5;-24164432;2684591.5;-201317.59375
141;-25102388;2730651;69325.96875
141.5;-22601192;2118321;426847.03125
142;-16909304;1030640;767862.375
142.5;-8752208;-236920.4375;980385.6875
143;749066.875;-1356699.375;983337.875
143.5;10236392;-2055877.75;754410.125
144;18327464;-2186191.25;336612.125
144.5;23845320;-1757801.25;-175761.78125
145;26018530;-929062;-663624.375
145.5;24611612;43936.4375;-1012275.375
146;19956054;883105.3125;-1136817.625
146.5;12874777;1368096.625;-1000820.75
147;4516868;1395267.5;-627365.1875
147.5;-3862677;1001849.125;-98952.8984375
148;-11129211;348843.125;456957.125
148.5;-16452912;-331649.5;897608.4375
149;-19415056;-808306.75;1103841.75
149.5;-20018380;-921422.75;1015900.375
150;-18609088;-631642.5;653199.625
150.5;-15736514;-33740.4375;110181.859375
151;-11993762;671000.25;-470016.0625
151.5;-7879786.5;1235084.5;-935294
152;-3718325.75;1440596;-1165123.875
152.5;351150.5;1168482.5;-1100840.25
153;4316234;440271.5;-759159.375
153.5;8191127;-580047.5;-226222.96875
154;11910614;-1625379;365255.75
154.5;15253774;-2396437.5;869384.8125
155;17827724;-2644053.25;1162596
155.5;19122376;-2242716.5;1172523.125
156;18626372;-1231652;894222.875
156.5;15977988;183925.5;391492.875
157;11108586;1679137.75;-216646.234375
157.5;4336979.5;2889854.25;-781941.0625
158;-3616369.75;3505193.5;-1162250.875
158.5;-11710456;3350638.25;-1259401.75
159;-18747224;2436413.75;-1049209.75
159.5;-23587384;959303.5;-592009.625
160;-25369972;-743132.8125;-16236.65625
160.5;-23689852;-2276886.25;521737.375
161;-18690106;-3285943.25;886968.625
161.5;-11051614;-3543058.5;1005266.375
162;-1880016.75;-3004154.25;877778.125
162.5;7485215;-1817515.5;568877.375
163;15698184;-283925.0625;177358.640625
163.5;21624892;1221335.75;-195122.90625
164;24511376;2344498.75;-467420.28125
164.5;24073888;2841668.75;-592196.875
165;20502656;2635680.5;-560915.875
165.5;14389896;1829646.5;-403392.28125
166;6607116;670886.1875;-181202.53125
166.5;-1838390.5;-519930.4375;27206.869140625
167;-9938790;-1436664.75;149287.03125
167.5;-16792200;-1867364.5;143461.4375
168;-21674658;-1745406.75;16686.90625
168.5;-24079250;-1159356.25;-174511.0625
169;-23735254;-320736.3125;-342481.96875
169.5;-20618928;502378.5;-400566.40625
170;-14962514;1062652;-296692.125
170.5;-7261780.5;1204005.5;-34985.984375
171;1729230.5;904190.5;322669.34375
171.5;11030344;277713.75;675194.3125
172;19507916;-460613.9375;913195.4375
172.5;25994580;-1061392.5;951034.9375
173;29449584;-1316130.5;750557.5625
173.5;29138554;-1121725.5;331931.65625
174;24798858;-512655;-228704.78125
174.5;16751180;344649.75;-812389.375
175;5923515.5;1199777.125;-1279974.75
175.5;-6235495.5;1790250.375;-1502811.625
176;-17951272;1918967.25;-1397806.375
176.5;-27400774;1513408.25;-957898.8125
177;-33026172;650977.5;-264995.21875
177.5;-33822696;-458227.59375;524485.3125
178;-29543960;-1523009.875;1221390.75
178.5;-20776140;-2251458.5;1658296.25
179;-8861390;-2429595;1735808.125
179.5;4320741;-1983327;1444106.375
180;16675422;-1003986.5;856070.125
180.5;26255848;269981.625;101683.71875
181;31600104;1512867.875;-663599.6875
181.5;31974232;2397170;-1287776.75
182;27478976;2681662.5;-1647501
182.5;19002320;2278735;-1671228.625
183;8034305;1279817.5;-1358042
183.5;-3614875.5;-66601.75;-784657.5
184;-14135257;-1418806;-91690.28125
184.5;-22013358;-2430489.25;552537.625
185;-26253388;-2840160;1000876.3125
185.5;-26488598;-2539215.5;1170401.25
186;-22976868;-1601034.5;1061982.375
186.5;-16494072;-262206;749418.25
187;-8160111.5;1138113.125;346149.40625
187.5;763628.5;2245633;-34617.640625
188;9063618;2782773.25;-310557.5625
188.5;15724364;2620194.5;-444262.625
189;20023368;1809248.25;-442115.125
189.5;21572520;566715;-343700.59375
190;20317322;-784248.875;-207403.8125
190.5;16506711;-1899462.625;-94247.59375
191;10650160;-2504166.25;-51365.71875
191.5;3466249.5;-2463071.25;-97038.7890625
192;-4175411;-1811717.5;-211643.8125
192.5;-11325068;-742336.625;-339804.71875
193;-17041702;451154.625;-406714.3125
193.5;-20500950;1453801.25;-345363.09375
194;-21114320;2013614;-126061.5
194.5;-18642016;2006754.25;224743.46875
195;-13274253;1466712;625720.75
195.5;-5656492;570186.9375;963275.625
